100636,Community College of the Air Force,100 S Turner Blvd,Montgomery,AL,36114-3011,3346495000,www.au.af.mil/au/barnes/ccaf/
100654,Alabama A & M University,4900 Meridian Street,Normal,AL,35762,2563725000,www.aamu.edu/
100663,University of Alabama at Birmingham,Administration Bldg Suite 1070,Birmingham,AL,35294-0110,2059344011,www.uab.edu
100690,Amridge University,1200 Taylor Rd,Montgomery,AL,36117-3553,33438770007528,www.amridgeuniversity.edu
100706,University of Alabama in Huntsville,301 Sparkman Dr,Huntsville,AL,35899,2568246120,www.uah.edu
100724,Alabama State University,915 S Jackson Street,Montgomery,AL,36104-0271,3342294100,www.alasu.edu
100733,University of Alabama System Office,500 University Blvd. East,Tuscaloosa,AL,35401,2053485122,www.uasystem.ua.edu
100751,The University of Alabama,739 University Blvd,Tuscaloosa,AL,35487-0166,2053486010,www.ua.edu/
100760,Central Alabama Community College,1675 Cherokee Rd,Alexander City,AL,35010,2562346346,www.cacc.edu
100812,Athens State University,300 N Beaty St,Athens,AL,35611,2562338100,www.athens.edu
100830,Auburn University at Montgomery,7440 East Drive,Montgomery,AL,36117-3596,3342443000,www.aum.edu
100858,Auburn University,Auburn University,Auburn,AL,36849,3348444000,www.auburn.edu
100937,Birmingham Southern College,900 Arkadelphia Road,Birmingham,AL,35254,2052264600,www.bsc.edu/
101028,Chattahoochee Valley Community College,2602 College Drive,Phenix City,AL,36869,3342914900,www.cv.edu
101073,Concordia College Alabama,1712 Broad Street,Selma,AL,36701,3348745700,www.ccal.edu/
101116,South University-Montgomery,5355 Vaughn Rd,Montgomery,AL,36116,3343958800,southuniversity.edu
101143,Enterprise State Community College,600 Plaza Drive,Enterprise,AL,36330-1300,3343472623,www.escc.edu
101161,James H Faulkner State Community College,1900 US Hwy 31 S,Bay Minette,AL,36507-2698,2515802100,www.faulknerstate.edu
101189,Faulkner University,5345 Atlanta Hwy,Montgomery,AL,36109-3390,3342725820,www.faulkner.edu
101240,Gadsden State Community College,1001 George Wallace Dr,Gadsden,AL,35903,2565498200,www.gadsdenstate.edu
101277,New Beginning College of Cosmetology,421 Martling Road,Albertville,AL,35951,2568786430,www.nbccosmetology.com
101286,George C Wallace State Community College-Dothan,1141 Wallace Drive,Dothan,AL,36303-9234,3349833521,www.wallace.edu
101295,George C Wallace State Community College-Hanceville,801 Main St NW,Hanceville,AL,35077-2000,2563528000,www.wallacestate.edu
101301,George C Wallace State Community College-Selma,3000 Earl Goodwin Parkway,Selma,AL,36703-2808,3348769227,www.wccs.edu
101365,Herzing University-Birmingham,280 West Valley Ave,Birmingham,AL,35209,2059162800,www.herzing.edu/
101435,Huntingdon College,1500 East Fairview Avenue,Montgomery,AL,36106-2148,3348334222,www.huntingdon.edu
101453,Heritage Christian University,3625 Helton Dr,Florence,AL,35630-9977,2567666610,www.hcu.edu
101462,J F Drake State Community and Technical College,3421 Meridian St N,Huntsville,AL,35811,2565398161,www.drakestate.edu
101471,J F Ingram State Technical College,5375 Ingram Rd,Deatsville,AL,36022,33428551773249,www.istc.edu
101480,Jacksonville State University,700 Pelham Road North,Jacksonville,AL,36265,2567825781,www.jsu.edu/
101499,Jefferson Davis Community College,220 Alco Dr,Brewton,AL,36426,2518674832,www.jdcc.edu
101505,Jefferson State Community College,2601 Carson Rd,Birmingham,AL,35215-3098,2058531200,www.jeffstateonline.com
101514,John C Calhoun State Community College,6250 U S Highway 31 N,Tanner,AL,35671,2563062500,www.calhoun.edu
101541,Judson College,302 Bibb St,Marion,AL,36756,3346835100,www.judson.edu
101569,Lawson State Community College-Birmingham Campus,3060 Wilson Rd SW,Birmingham,AL,35221-1717,2059252515,www.lawsonstate.edu
101587,University of West Alabama,Station One,Livingston,AL,35470,2056523400,www.uwa.edu
101602,Lurleen B Wallace Community College,1000 Dannelly Blvd.,Andalusia,AL,36420-1418,3342226591,www.lbwcc.edu
101648,Marion Military Institute,1101 Washington St,Marion,AL,36756-3207,8006641842,www.marionmilitary.edu
101675,Miles College,5500 Myron Massey Blvd,Fairfield,AL,35064-2621,20592910001645,www.miles.edu
101693,University of Mobile,5735 College Parkway Drive,Mobile,AL,36613-2842,2516755990,www.umobile.edu
101709,University of Montevallo,Station 6001,Montevallo,AL,35115-6000,2056656155,www.montevallo.edu
101736,Northwest-Shoals Community College,800 George Wallace Blvd,Muscle Shoals,AL,35661,2563315200,www.nwscc.edu
101879,University of North Alabama,One Harrison Plaza,Florence,AL,35632-0001,2567654100,www.una.edu
101897,Northeast Alabama Community College,138  Highway 35,Rainsville,AL,35986,20563844182201,www.nacc.edu
101912,Oakwood University,7000 Adventist Blvd NW,Huntsville,AL,35896,2567267000,www.oakwood.edu
101949,Alabama Southern Community College,2800 South Alabama Avenue,Monroeville,AL,36460,25157531568252,www.ascc.edu
101958,Prince Institute-Southeast,7735 Atlanta Hwy,Montgomery,AL,36117,3342711670,princeinstitute.edu
101994,Reid State Technical College,I65 and Hwy 83,Evergreen,AL,36401,2515781313,www.rstc.edu
102030,Bishop State Community College,351 North Broad Street,Mobile,AL,36603-5898,2514057000,www.bishop.edu
102049,Samford University,800 Lakeshore Drive,Birmingham,AL,35229-2240,2057262011,www.samford.edu
102058,Selma University,1501 Lapsley St Dinkins Hall,Selma,AL,36701,3348722533112,selmauniversity.edu
102067,Shelton State Community College,9500 Old Greensboro Rd,Tuscaloosa,AL,35405-8522,2053912211,www.sheltonstate.edu
102076,Snead State Community College,102 Elder Street,Boaz,AL,35957-0734,2565935120,www.snead.edu
102094,University of South Alabama,307 N University Blvd,Mobile,AL,36688-0002,2514606101,www.southalabama.edu
102234,Spring Hill College,4000 Dauphin St,Mobile,AL,36608-1791,2513804000,www.shc.edu
102261,Southeastern Bible College,2545 Valleydale Road,Birmingham,AL,35244-2083,2059709200,www.sebc.edu
102270,Stillman College,3601 Stillman Boulevard,Tuscaloosa,AL,35403,2053494240,www.stillman.edu
102298,Talladega College,627 W Battle St,Talladega,AL,35160,2567616100,www.talladega.edu
102313,H Councill Trenholm State Technical College,1225 Air Base Blvd,Montgomery,AL,36108-3199,3344204300,www.trenholmstate.edu
102368,Troy University,University Avenue,Troy,AL,36082-0001,3346703100,www.troy.edu
102377,Tuskegee University,Kresge Center 3rd Floor,Tuskegee,AL,36088-1920,3347278011,www.tuskegee.edu
102395,United States Sports Academy,One Academy Drive,Daphne,AL,36526-7055,25162633037141,www.ussa.edu
102429,Bevill State Community College,1411 Indiana Avenue,Jasper,AL,35501,2053870511,www.bscc.edu
102553,University of Alaska Anchorage,3211 Providence Drive,Anchorage,AK,99508,9077861800,www.uaa.alaska.edu
102580,Alaska Bible College,248 E Elmwood,Palmer,AK,99645,9077453201,www.akbible.edu
102614,University of Alaska Fairbanks,505 South Chandalar Drive,Fairbanks,AK,99775-7500,9074747211,www.uaf.edu
102632,University of Alaska Southeast,11120 Glacier Highway,Juneau,AK,99801-8697,8774654827,www.uas.alaska.edu
102669,Alaska Pacific University,4101 University Dr,Anchorage,AK,99508,9075611266,www.alaskapacific.edu
102711,AVTEC-Alaska's Institute of Technology,809 Second Avenue,Seward,AK,99664-0889,9072243322,www.avtec.edu
102845,Charter College-Anchorage,2221 E Northern Lights Blvd Ste 120,Anchorage,AK,99508,9072771000,www.chartercollege.edu
103361,Prince William Sound Community College,303 Lowe Street,Valdez,AK,99686,907-834-1600,http://pwsc.alaska.edu
103501,Alaska Career College,1415 E Tudor Road,Anchorage,AK,99507-1033,9075637575,www.alaskacareercollege.edu
103529,University of Alaska System of Higher Education,910 Yukon Drive Suite 202 Butrovich Building,Fairbanks,AK,99775-5000,9074508000,www.alaska.edu
103644,Everest College-Phoenix,10400 N. 25th Avenue Suite 190,Phoenix,AZ,85021-1641,6029424141,www.everestcollegephoenix.edu
103723,Collins College,4750 S 44th Place,Phoenix,AZ,85040,4809663000,www.collinscollege.edu
103732,Empire Beauty School-Paradise Valley,12827 N Tatum Blvd,Phoenix,AZ,85032,8009204593,www.empire.edu
103741,Empire Beauty School-Tucson,3030 E Speedway Blvd,Tucson,AZ,85716,8009204593,www.empire.edu
103778,Thunderbird School of Global Management,1 Global Place,Glendale,AZ,85306-6000,6029787000,www.thunderbird.edu
103787,American Indian College Inc,10020 N 15th Ave,Phoenix,AZ,85021,6029443335,www.aicag.edu
103811,American Institute of Technology,440 S 54th Avenue,Phoenix,AZ,85043-4729,6022332222,www.ait-schools.com
103893,Carrington College-Phoenix,8503 N 27th Ave.,Phoenix,AZ,85051-4063,6023935900,www.carrington.edu
103909,Carrington College-Mesa,1001 Southern Ave. Ste. 130,Mesa,AZ,85210,4802121600,www.carrington.edu
103927,Carrington College-Tucson,201 N. Bonita Ave. Suite 101,Tucson,AZ,85745,5208885885,www.carrington.edu
103945,CollegeAmerica-Flagstaff,399 Malpais,Flagstaff,AZ,86001,92821360601400,www.collegeamerica.edu
103954,Arizona Academy of Beauty-East,5631 E Speedway Blvd,Tucson,AZ,85712,5208854120,www.arizonaacademy.com
103963,Arizona Automotive Institute,6829 N 46th Ave,Glendale,AZ,85301-3579,6239347273,www.aai.edu
104090,Brookline College-Phoenix,2445 W. Dunlap Ave. Ste. 100,Phoenix,AZ,85021,6022426265,www.brooklinecollege.edu
104151,Arizona State University-Tempe,University Drive and Mill Avenue,Tempe,AZ,85287,4809659011,www.asu.edu
104160,Arizona Western College,2020 S. Avenue 8E,Yuma,AZ,85365-8834,9283176000,www.azwestern.edu
104179,University of Arizona,1401 E University,Tucson,AZ,85721-0066,5206212211,www.arizona.edu
104188,Southwest University of Visual Arts-Tucson,2525 N Country Club Rd,Tucson,AZ,85716,5203250123,www.suva.edu
104346,Central Arizona College,8470 N Overfield Rd,Coolidge,AZ,85128-9030,5204945444,www.centralaz.edu
104364,Brown Mackie College-Tucson,4585 E Speedway Blvd.,Tucson,AZ,85712,5203276866,www.brownmackie.edu
104391,Charles of Italy Beauty College,1987 McCulloch Blvd Suite 205,Lake Havasu City,AZ,86403,9284536666,www.charlesofitaly.edu
104425,Cochise County Community College District,4190 W Highway 80,Douglas,AZ,85607-6190,5205150500,www.cochise.edu
104434,Empire Beauty School-Flagstaff,1790 E Rte 66,Flagstaff,AZ,86004,8009204593,www.empire.edu
104443,Empire Beauty School-Chandler,2978 N Alma School Rd #1-3,Chandler,AZ,85224,8009204593,www.empire.edu
104504,Cortiva Institute-Tucson,6390 E. Broadway Suite 100,Tucson,AZ,85710,5204075160,www.cortiva.com
104568,Avalon School of Cosmetology-Mesa,2111 S Alma School Rd Ste 21,Mesa,AZ,85210,4808971688,avalon.edu/locations/mesa-az
104577,Eastern Arizona College,615 N. Stadium Ave.,Thatcher,AZ,85552-0769,9284288322,www.eac.edu
104586,Embry-Riddle Aeronautical University-Prescott,3700 Willow Creek Road,Prescott,AZ,86301-3720,9287773728,www.erau.edu
104665,Frank Lloyd Wright School of Architecture,Taliesin West,Scottsdale,AZ,85261-4430,4808602700,www.taliesin.edu
104708,Glendale Community College,6000 W Olive Ave,Glendale,AZ,85302,6238453000,www.gccaz.edu
104717,Grand Canyon University,3300 W Camelback Rd,Phoenix,AZ,85017,8008009776,www.gcu.edu
104805,Anthem College-Phoenix,1515 E Indian School Road,Phoenix,AZ,85014,6022799700,www.anthem.edu
104911,International Academy of Hair Design,1445 W Southern Ave #2006,Mesa,AZ,85202-4887,4808209422,www.intlacademyaz.com
105118,Kaplan College-Phoenix, , ,AZ, , , 
105136,Maricopa Community College System Office,2411 W 14th St,Tempe,AZ,85281-6942,4807318000,www.dist.maricopa.edu
105145,GateWay Community College,108 N. 40th Street,Phoenix,AZ,85034,6023925000,www.gatewaycc.edu
105154,Mesa Community College,1833 W Southern Ave,Mesa,AZ,85202,4804617000,www.mesacc.edu
105163,ITT Technical Institute-Tucson,1455 W. River Rd,Tucson,AZ,85704-5829,5204087488,www.itt-tech.edu
105172,ITT Technical Institute-Tempe,5005 S. Wendler Drive,Tempe,AZ,85282,6024377500,www.itt-tech.edu
105206,Mohave Community College,1971 Jagerson Ave,Kingman,AZ,86409-1238,9287574331,www.mohave.edu
105215,Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,2844 W Deer Valley Rd,Phoenix,AZ,85027,6238699644,www.uti.edu
105297,Dine College,Route 12 One Circle Drive,Tsaile,AZ,86556,9287246600,www.dinecollege.edu
105330,Northern Arizona University,1900 S. Knoles Drive Babbitt Administrative Center,Flagstaff,AZ,86011-4132,9285239011,nau.edu
105349,Northland Pioneer College,2251 E. Navajo Blvd.,Holbrook,AZ,86025-0610,8002667845,www.npc.edu
105367,Ottawa University-Phoenix,9414 North 25th Avenue,Phoenix,AZ,85021,6023711188,www.ottawa.edu
